Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"13","32193","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","11","","SC201","A","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","25","12","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"13","32194","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","1","","SC201","A","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","25","12","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"13","32195","CS","112","INFO LIT FORMER ENGN MAJORS","1","25","0","","SC201","A","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","25","12","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"26","31484","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","2","A2","SC167","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","4","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"26","31485","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","1","B2","SC167","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","4","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"26","31486","CS","120G","INTRO INFO LITERACY & RSCH (A)","3","30","1","C2","SC167","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","4","1","ASYN","13-MAY-24","22-JUN-24","20","0","20"
"26","31487","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","2","A3","SC170","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","4","1","SYNC","13-MAY-24","22-JUN-24","20","0","20"
"26","31488","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","1","B3","SC170","C","I","E","SYNC","Y"," 600- 650PM","M","WC5","","O","GUPTA,REKHA","","30","4","1","SYNC","13-MAY-24","22-JUN-24","20","0","20"
"26","31489","CS","120G","INTR INFO LITERCY&RSCH REC (A)","0","30","1","C3","SC170","C","I","H","SYNC","Y"," 600- 650PM","M","WC7","","O","GUPTA,REKHA","","30","4","1","SYNC","13-MAY-24","22-JUN-24","20","0","20"
"30","31490","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","L2","SC172","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","30","0","2","ASYN","24-JUN-24","03-AUG-24","20","0","20"
"30","31491","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","M2","SC172","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","30","0","2","ASYN","24-JUN-24","03-AUG-24","20","0","20"
"30","31492","CS","120G","INTRO INFO LITERACY & RSCH (B)","3","30","0","N2","SC172","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","30","0","2","ASYN","24-JUN-24","03-AUG-24","20","0","20"
"30","31493","CS","120G","INTR INFO LITERCY&RSCH REC (B)","0","30","0","L3","SC182","C","I","B","SYNC","Y"," 600- 650PM","M","WC2","","","GUPTA,REKHA","","30","0","2","SYNC","24-JUN-24","03-AUG-24","20","0","20"
